14:37 | 15.6.2022 = 1
14:37 | 15.6.2022 = 2 
14:37 | 15.6.2022 = 3 
14:37 | 15.6.2022 = 4  
14:37 | 15.6.2022 = 5  
14:37 | 15.6.2022 = 6  
14:37 | 15.6.2022 = 6  
20:8 | 15.6.2022 = 5
20:8 | 15.6.2022 = 7
20:9 | 15.6.2022 = 6
12:15 | 18.6.2022 = 7
12:17 | 18.6.2022 = 5
12:18 | 18.6.2022 = 6
12:20 | 18.6.2022 = 2
12:21 | 18.6.2022 = 4
12:21 | 18.6.2022 = 4
12:22 | 18.6.2022 = 9
12:22 | 18.6.2022 = 7
12:55 | 18.6.2022 = 11
12:55 | 18.6.2022 = 4
13:5 | 18.6.2022 = 24
13:6 | 18.6.2022 = 0
13:6 | 18.6.2022 = 2
13:17 | 18.6.2022 = 0
13:19 | 18.6.2022 = 3
13:19 | 18.6.2022 = 5
13:21 | 18.6.2022 = 8
13:22 | 18.6.2022 = 3
13:37 | 18.6.2022 = 0
13:38 | 18.6.2022 = 26
13:38 | 18.6.2022 = 18
13:39 | 18.6.2022 = 12
13:44 | 18.6.2022 = 0
13:44 | 18.6.2022 = 0
13:44 | 18.6.2022 = 0
13:45 | 18.6.2022 = 0
13:45 | 18.6.2022 = 0
13:46 | 18.6.2022 = 39
13:46 | 18.6.2022 = 0
13:52 | 18.6.2022 = 5
13:58 | 18.6.2022 = 0
14:2 | 18.6.2022 = 5
14:7 | 18.6.2022 = 9
14:8 | 18.6.2022 = 0
14:8 | 18.6.2022 = 3
14:13 | 18.6.2022 = 53
14:13 | 18.6.2022 = 23
14:15 | 18.6.2022 = 67
14:19 | 18.6.2022 = 80
14:22 | 18.6.2022 = 27
14:25 | 18.6.2022 = 0
14:29 | 18.6.2022 = 40
14:47 | 18.6.2022 = 0
15:10 | 18.6.2022 = 42
15:15 | 18.6.2022 = 40
17:1 | 18.6.2022 = 19
17:3 | 18.6.2022 = 6
17:4 | 18.6.2022 = 7
17:5 | 18.6.2022 = 1
17:6 | 18.6.2022 = 0
17:6 | 18.6.2022 = 0
17:6 | 18.6.2022 = 0
17:7 | 18.6.2022 = 0
17:7 | 18.6.2022 = 0
17:26 | 18.6.2022 = 46
17:27 | 18.6.2022 = 72
17:32 | 18.6.2022 = 0
17:33 | 18.6.2022 = 13
17:35 | 18.6.2022 = 13
17:35 | 18.6.2022 = 2
17:36 | 18.6.2022 = 0
17:38 | 18.6.2022 = 20
17:39 | 18.6.2022 = 0
17:41 | 18.6.2022 = 0
17:42 | 18.6.2022 = 0
17:43 | 18.6.2022 = 0
17:43 | 18.6.2022 = 0
17:44 | 18.6.2022 = 0
17:45 | 18.6.2022 = 0
17:45 | 18.6.2022 = 0
17:45 | 18.6.2022 = 0
17:46 | 18.6.2022 = 0
17:46 | 18.6.2022 = 0
17:53 | 18.6.2022 = 0
17:55 | 18.6.2022 = 0
17:57 | 18.6.2022 = 0
18:0 | 18.6.2022 = 0
18:1 | 18.6.2022 = 0
18:2 | 18.6.2022 = 0
18:3 | 18.6.2022 = 0
18:4 | 18.6.2022 = 0
18:5 | 18.6.2022 = 0
18:11 | 18.6.2022 = 0
18:11 | 18.6.2022 = 0
18:11 | 18.6.2022 = 2
18:13 | 18.6.2022 = 11
18:14 | 18.6.2022 = 49
14:16 | 20.6.2022 = 60
19:43 | 23.6.2022 = 12
19:46 | 23.6.2022 = 8
19:47 | 23.6.2022 = 11
20:42 | 23.6.2022 = 3
20:44 | 23.6.2022 = 0
